layer,dropped_subject_index,dropped_subject_age,median_supF_full,median_supF_dropped,supF_retention
clinical_test,80,60.95000000000001,11.867616483740814,12.872747402348267,1.08469526462913
clinical_test,81,54.39,11.867616483740814,11.93309251836598,1.005517201766241
clinical_test,82,48.85999999999999,11.867616483740814,11.790715179029332,0.9935200716321732
clinical_test,83,68.82,11.867616483740814,13.340899972746152,1.1241431664920924
clinical_test,84,52.330000000000005,11.867616483740814,12.046023064608864,1.015033059175149
clinical_test,85,54.02,11.867616483740814,11.956855803393127,1.007519565514657
clinical_test,86,59.12,11.867616483740814,11.877250295927618,1.0008117731306874
clinical_test,87,41.43,11.867616483740814,11.551932034830454,0.9733995070246108
clinical_test,88,60.71,11.867616483740814,12.58091892198632,1.0601049451861513
clinical_test,89,51.13,11.867616483740814,11.745211311456037,0.989685782949552
clinical_test,90,50.9,11.867616483740814,11.733516946618652,0.9887003816389007
clinical_test,91,67.9,11.867616483740814,12.734447939461381,1.0730417482658094
clinical_test,92,64.56,11.867616483740814,11.506498618007639,0.9695711547278323
clinical_test,93,62.88,11.867616483740814,11.330198498738367,0.9547155921546053
clinical_test,94,61.95000000000001,11.867616483740814,12.167090771480332,1.0252345774865417
clinical_test,95,66.08,11.867616483740814,13.141001604818763,1.107299146616555
clinical_test,96,50.02,11.867616483740814,11.972396665006226,1.0088290838694498
clinical_test,97,57.720000000000006,11.867616483740814,12.203179434226547,1.028275513532601
clinical_test,98,49.69,11.867616483740814,12.045017513379436,1.0149483284939036
clinical_test,99,58.65,11.867616483740814,12.320326674754215,1.0381466819081686
